year,indicator,01_AUS,02_BD,03_CDA,04_CHL,05_PRC,06_HKC,07_INA,08_JPN,09_ROK,10_MAS,11_MEX,12_NZ,13_PNG,14_PE,15_RP,16_RUS,17_SIN,18_CT,19_THA,20_USA,21_VN
1990,GDP,515317626,23088497.01,916554840.9,125464694.3,1825795839,162136326.5,884274956.4,3980922738,525457623.6,200554122.6,940509384.3,83052842.34,10786809.28,122184472.8,261760308.6,3224936158,110272033.1,371750374.5,396505937.6,9748318567,104421340.3
1991,GDP,513320530.7,23814847.59,897071705.8,135256451.1,1995486690,171381297.9,945395889.6,4116970644,579863250.3,219697951,980220048.5,81688661.79,11816614.93,124896062.8,260246458,3062175582,117646007.9,399425851.4,430439947.9,9741096571,110645733.4
1992,GDP,515592568.6,24948096.36,904992633.9,150360143.7,2279168343,182066811.6,1006823049,4151885419,615672738.3,239218373.1,1015788889,82723246.67,13453108,124220988.2,261125057.9,2617208589,125984287.5,429483926.5,465234079.1,10087431143,120212216
1993,GDP,536417759.1,25024081.5,929022323.1,160267048.5,2595233745,193357082.8,1072230383,4130381981,657826274,262888895.6,1321231084,88127413.7,15901881.19,130734611.4,266651266.3,2390334807,140519582.9,455960018.5,503620743.6,10364417549,129916624.4
1994,GDP,557759321.9,25811188.3,970767705.4,168328798.3,2933967773,205028346.2,1153076244,4171399415,718386691.8,287106330.6,1386514177,92724484.39,16846788.32,146825906.1,278350919.5,2089875555,155871988.2,488064702.7,543894815.3,10782895773,141399930.1
1995,GDP,579117983.1,26967195.89,996762034.1,183366107.9,3255214575,209895285,1247859197,4285785040,787140638.2,315326256.4,1299285370,96968685.01,16288747.08,157707754,291374102.3,2003280967,166826743,516012759,588060498.4,11076080098,154890162.4
1996,GDP,601579834.3,27743397.47,1012820349,195840351.3,3578404403,218833909,1345419164,4418644346,846920105.5,346867398,1387289329,100224849.6,17548469.23,162121951.6,308407463.6,1931162853,179392023.1,541876150.9,621299876.8,11496514943,169356930.7
1997,GDP,625441020.1,27335244.5,1056167160,210387156.8,3908718655,229993805.2,1408652234,4466190958,897076284.9,372267602.1,1482274980,103240011.3,16863308.61,172622305.8,324399507.9,1958199133,194265626.9,571729306.2,604191821.9,12012366615,183163050.2
1998,GDP,654065825.5,27182574.74,1097165026,219485516.7,4215068932,216464022.7,1223742322,4415794020,847995274.4,344870883.6,1558818551,104340665.5,16227711.42,171946424.6,322528637.1,1854414579,189942770.4,593032529,558069427.6,12546906234,193721402.6
1999,GDP,686887266.8,28012229.63,1153813970,218581025.3,4538258760,221890121.6,1233423667,4404668239,943891850.3,366037720.4,1601741466,109759848.3,16528825.37,174516870,332468700.2,1973097112,201520170.6,628666963.8,583586027,13134753835,202968862.1
2000,GDP,713972530.5,28810416.23,1213612575,230224701.9,4923625388,238894600.1,1294108947,4527101843,1028128780,398464519.5,1680906796,112272733.4,16116457.29,179219002.6,347134633.2,2170406823,219450517.3,662000042.8,609588729.7,13672251138,216745001
2001,GDP,727774374.4,29600985.72,1235103458,237829132.7,5334251341,240234490.2,1341259372,4545497083,1074654762,400527272,1674109375,116536454.5,16096909.86,180326383.1,357180664.6,2280923596,217360711.8,650059606.8,630584451.5,13805689826,230167787.6
2002,GDP,756907344.8,30747164.59,1272280273,245218413.8,5821302945,244214304.9,1401609008,4550860441,1154527763,422119650.4,1673442335,122433888.8,16071331.79,190160534.6,370203126.3,2389123082,226515263.7,685988329.7,669358331.6,14052277074,244716281.5
2003,GDP,779506667.3,31640048.56,1295210241,255250416,6405505799,251678272.9,1468611092,4620407607,1188392578,446554043.4,1697646715,127992717.9,16419131.88,198080764.8,388603586.6,2563430022,236561959,712263135.9,717480710.7,14446693008,261599413.1
2004,GDP,810695551.6,31799615.1,1335179927,273652796.1,7053180804,273574346.6,1542495065,4722273174,1246621919,476845758.8,1764204496,132177606.4,16865925.32,207902011.7,414630792.2,2747380458,259151675.5,759246129.6,762605142.9,14993607656,281314619
2005,GDP,836559304.2,31922840.9,1377924138,289368212.3,7856945485,293786691.6,1630302696,4800789013,1295535341,502271838.2,1804918932,136564456.6,17936033.86,220968778.5,434440474.1,2922558574,278559952.6,799043409.5,794541787.4,15495176228,302546130.2
2006,GDP,860269340,33326717.96,1414072774,307648112.6,8856308018,314447918.3,1719984861,4868960531,1362594243,530322952.2,1886051444,140078141.2,18347570.08,237605294.8,457218015.9,3160847399,303240910.7,842725935.4,834013962.5,15908374599,323657662.5
2007,GDP,892764543.5,33378235,1443241528,322739250.8,10116683578,334776452.4,1829118283,4949502092,1437038168,563726859.7,1929269289,145345664.9,20383743.12,257845435.2,487470587.9,3430628260,330870788.6,896011411.5,879343393.4,16191316215,346732850
2008,GDP,925419788.3,32730792.49,1457679153,334130431.3,11093377485,341900297,1939116035,4895377277,1477695185,590964844.4,1951332115,143099309.3,20323758.56,281377874.9,507714056.1,3610666037,336785501.7,886001895.7,894517940.1,16144098863,366364070.7
2009,GDP,943213087.1,32153246.03,1414683628,328903831.3,12136134243,333492799.2,2028875219,4630223435,1488150025,582020421.7,1848189692,145841184.6,21706902.95,284461280.2,513544300.2,3328279998,334753377.4,881882612.7,888339206.4,15696014624,386140027.9
2010,GDP,962576704.8,32988897.88,1458305599,348125554.3,13426950528,356062533.3,2155149454,4824310329,1584832060,625234549.8,1942782224,147244406,23904658.79,308163900.1,552739361,3478176597,385771054.3,971617961.1,955085378.1,16093425254,410942721.7
2011,GDP,986170471.3,34224437.12,1504114172,369399224.4,14707404013,373205830.8,2288117524,4818742045,1643180641,658333921.9,2013946491,151213818.5,24169357.69,327662023,572968248.6,3661994244,410270113.2,997904591.5,963107708.2,16351154165,436586791.7
2012,GDP,1024551635,34536852.05,1530368068,389046195,15862856222,379551478.7,2426092170,4890786556,1680848879,694367527.6,2087300921,154993281.7,25292851.11,347779569.1,611264408.6,3795873150,427022663.1,1016230750,1032863544,16714808879,459496103.6
2013,GDP,1051594494,33802588.72,1568244706,404783130.3,17093438732,391323225.4,2560916509,4988615386,1729529707,726959212.6,2115564895,158121061.6,26261549.91,368133431.8,654444274.7,3863642942,448848164,1040150331,1060620512,16995171638,484409444.7
2014,GDP,1078497831,33008313.49,1613029685,411934594.9,18340860791,402133203.3,2689133108,5007308700,1787321039,770625631.2,2175758719,163726439.7,30311462.5,376880366.3,694661830.8,3892179838,466280920.9,1083811934,1071061409,17431810499,513394832.9
2015,GDP,1103854786,32821217.55,1629174217,421430746.5,19606417751,411735523.7,2820263905,5075098803,1837191517,809372736.9,2246916302,170986552.9,31917662.94,389134140.1,736803830.5,3782099620,476730546.6,1103089000,1103409327,17930636927,547685956.4
2016,GDP,1135064189,32012005.6,1652212414,426765501.8,20920047740,420641047.3,2962215673,5122713069,1891008456,843527063,2312376350,176922277.3,32524098.53,404510033.1,787464360.7,3773593262,488157880.1,1118806117,1139630759,18196956946,581701699.7
